"","titel","stars"
"1","The Shawshank Redemption","9.2"
"2","The Dark Knight","9.0"
"3","Inception","8.7"
"4","Fight Club","8.7"
"5","Forrest Gump","8.7"
"6","Pulp Fiction","8.8"
"7","The Matrix","8.7"
"8","The Lord of the Rings: The Fellowship of the Ring","8.8"
"9","The Lord of the Rings: The Return of the King","8.9"
"10","The Godfather","9.1"
"11","Interstellar","8.5"
"12","The Dark Knight Rises","8.3"
"13","The Lord of the Rings: The Two Towers","8.7"
"14","Se7en","8.6"
"15","Django Unchained","8.4"
"16","Gladiator","8.5"
"17","Batman Begins","8.2"
"18","Inglourious Basterds","8.3"
"19","The Silence of the Lambs","8.6"
"20","Saving Private Ryan","8.6"
"21","The Wolf of Wall Street","8.2"
"22","Star Wars","8.5"
"23","Schindler's List","8.9"
"24","The Prestige","8.5"
"25","The Departed","8.5"
"26","The Green Mile","8.5"
"27","Shutter Island","8.1"
"28","Star Wars: Episode V - The Empire Strikes Back","8.7"
"29","The Godfather: Part II","9.0"
"30","Memento","8.4"
"31","Back to the Future","8.5"
"32","Joker","8.3"
"33","American Beauty","8.3"
"34","Léon","8.5"
"35","Goodfellas","8.6"
"36","V for Vendetta","8.1"
"37","American History X","8.5"
"38","Kill Bill: Vol. 1","8.1"
"39","WALL·E","8.4"
"40","Terminator 2: Judgment Day","8.5"
"41","The Usual Suspects","8.5"
"42","The Truman Show","8.1"
"43","Avengers: Endgame","8.3"
"44","The Lion King","8.5"
"45","Star Wars: Episode VI - Return of the Jedi","8.3"
"46","Braveheart","8.3"
"47","Finding Nemo","8.1"
"48","Up","8.2"
"49","Reservoir Dogs","8.3"
"50","Avengers: Infinity War","8.4"
"51","One Flew Over the Cuckoo's Nest","8.6"
"52","The Shining","8.4"
"53","Eternal Sunshine of the Spotless Mind","8.3"
"54","The Sixth Sense","8.1"
"55","Mad Max: Fury Road","8.1"
"56","Toy Story","8.3"
"57","Gone Girl","8.1"
"58","Raiders of the Lost Ark","8.4"
"59","Jurassic Park","8.1"
"60","No Country for Old Men","8.1"
"61","Good Will Hunting","8.3"
"62","Catch Me If You Can","8.1"
"63","A Beautiful Mind","8.1"
"64","Monsters, Inc.","8.0"
"65","Die Hard","8.2"
"66","Alien","8.4"
"67","Harry Potter and the Deathly Hallows: Part 2","8.1"
"68","Snatch","8.2"
"69","The Intouchables","8.5"
"70","Requiem for a Dream","8.3"
"71","Toy Story 3","8.2"
"72","A Clockwork Orange","8.2"
